228,230	Just Like a Woman	Bob Dylan	1966
229,231	Sexual Healing	Marvin Gaye	1982
230,232	Only the Lonely (Know the Way I Feel)	Roy Orbison	1960
231,233	We Gotta Get Out of This Place	The Animals	1965
232,234	I'll Feel a Whole Lot Better	The Byrds	1965
233,235	I Got a Woman	Ray Charles	1954
234,236	Everyday	Buddy Holly	1957
235,237	Planet Rock	Afrika Bambaataa and the Soul Sonic Force	1982
236,238	I Fall to Pieces	Patsy Cline	1961
237,239	The Wandered	Dion	1961
238,240	Son of a Preacher Man	Dusty Springfield	1968
239,241	Stand!	Sly and the Family Stone	1969
240,242	Rocket Man	Elton John	1972
241,243	Love Shack	The B-52's	1989
242,244	Gimme Some Lovin'	Spencer Davis Group	1966
243,245	The Night They Drove Old Dixie Down	The Band	1969
244,246	(Your Love Keeps Lifting Me) Higher and Higher	Jackie Wils
245,247	Hot Fun in the Summertime	Sly and the Family Stone	1969
246,248	Rappers Delight	The Sugarhill Gang	1979
247,249	Chain of Fools	Aretha Franklin	1967
248,250	Paranoid	Black Sabbath	1970
249,251	Mack the Knife	Bobby Darin	1959
250,252	Money Honey	The Drifters	1953
251,253	All the Young Dudes	Mott the Hoople	1972
252,254	Highway to Hell	AC/DC	1979
253,255	Heart of Glass	Blondie	1978
254,256	Paranoid Android	Radiohead	1997
255,257	Wild Thing	The Troggs	1966
256,258	I Can See For Miles	The Who	1967
257,259	Hallelujah	Jeff Buckley	1994
258,"260	""Oh, What a Night""	The Dells	1969"
259,261	Higher Ground	Stevie Wonder	1973
260,262	Ooo Baby Baby	Smokey Robinson	1965
261,263	He's a Rebel	The Crystals	1962
262,264	Sail Away	Randy Newman	1972
263,265	Tighten Up	Archie Bell and the Drells	1968
264,266	Walking in the Rain	The Ronettes	1964
265,267	Personality Crisis	New York Dolls	1973
266,268	Sunday Bloody Sunday	U2	1983
267,269	Roadrunner	The Modern Lovers	1976
268,270	He Stopped Loving Her Today	George Jones	1980
269,271	Sloop John B	The Beach Boys	1966
270,272	Sweet Little Sixteen	Chuck Berry	1958
271,273	Something	The Beatles	1969
272,274	Somebody To Love	Jefferson Airplaine	1967
273,275	Born in the U.S.A.	Bruce Springsteen	1984
274,276	I'll Take You There	The Staple Singers	1972
275,277	Ziggy Stardust	David Bowie	1972
276,278	Pictures of You	The Cure	1989
277,279	Chapel of Love	The Dixie Cups	1964
278,280	Ain't No Sunshine	Bill Withers	1971
279,281	You Are the Sunshine of My Life	Stevie Wonder	1972
280,282	Help Me	Joni Mitchell	1974
281,283	Call Me	Blondie	1980
282,284	(What's So Funny 'Bout) Peace Love and Understanding?	Elvi
283,285	Smoke Stack Lightning	Howlin' Wolf	1956
284,286	Summer Babe	Pavement	1992
285,287	Walk This Way	Run-DMC	1986
286,288	Money (That's What I Want)	Barrett Strong	1960
287,289	Can't Buy Me Love	The Beatles	1964
288,290	Stan	Eminem featuring Dido	2000
289,291	She's Not There	The Zombies	1964
290,292	Train in Vain	The Clash	1979
291,293	Tired of Being Alone	Al Green	1971
292,294	Black Dog	Led Zeppelin	1971
293,295	Street Fighting Man	The Rolling Stones	1968
294,"296	""Get Up, Stand Up""	Bob Marley and the Wailers	1975"
295,297	Heart of Gold	Neil Young	1972
296,298	One Way or Another	Blondie	1978
297,299	Sign 'O' the Times	Prince	1987
298,300	Like a Prayer	Madonna	1989
299,301	Do Ya Think I'm Sexy?	Rod Stewart	1978
300,302	Blue Eyes Crying in the Rain	Willie Nelson	1975
301,303	Ruby Tuesday	The Rolling Stones	1967
302,304	With a Little Help From My Friends	The Beatles	1967
303,305	Say It Loud -- I'm Black and Proud	James Brown	1968
304,306	That's Entertainment	The Jam	1980
305,307	Why Do Fools Fall In Love	Frankie Lymon and the Teenagers
306,308	Lonely Teardrops	Jackie Wilson	1958
307,309	What's Love Got to Do With It	Tina Turner	1984
308,310	Iron Man	Black Sabbath	1971
309,311	Wake Up Little Susie	The Everly Brothers	1957
310,312	In Dreams	Roy Orbison	1963
311,313	I Put a Spell on You	Screamin' Jay Hawkins	1956
312,314	Comfortably Numb	Pink Floyd	1979
313,315	Don't Let Me Be Misunderstood	The Animals	1965
314,316	Wish You Were Here	Pink Floyd	1975
315,317	Many Rivers to Cross	Jimmy Cliff	1969
316,318	Alison	Elvis Costello	1977
317,319	School's Out	Alice Cooper	1972
318,320	Heartbreaker	Led Zeppelin	1969
319,321	Cortez the Killer	Neil Young	1975
320,322	Fight the Power	Public Enemy	1989
321,323	Dancing Barefoot	Patti Smith Group	1979
322,324	Baby Love	The Supremes	1964
323,325	Good Lovin'	The Young Rascals	1966
324,326	Get Up (I Feel Like Being a) Sex Machine	James Brown	1970
325,327	For Precious Love	Jerry Butler and the Impressions	1958
326,328	The End	The Doors	1967
327,"329	That's the Way of the World	""Earth, Wind & Fire""	1975"
328,330	We Will Rock You	Queen	1977
329,331	I Can't Make You Love Me	Bonnie Raitt	1991
330,332	Subterranean Homesick Blues	Bob Dylan	1965
331,333	Spirit in the Sky	Norman Greenbaum	1970
332,334	Wild Horses	The Rolling Stones	1971
333,335	Sweet Jane	The Velvet Underground	1970
334,336	Walk This Way	Aerosmith	1976
335,337	Beat It	Michael Jackson	1982
336,338	Maybe I'm Amazed	Paul McCartney	1970
337,339	You Keep Me Hanging On	The Supremes	1966
338,340	Baba O'Riley	The Who	1971
339,341	The Harder They Come	Jimmy Cliff	1975
340,342	Runaround Sue	Dion	1961
341,343	Jim Dandy	Lavern Baker	1956
